,date,code,capital,money_lock,money_rest,deal_action,deal_price,object_vol,fees,slippage
0,Initial,CASH,,,100000000.0,,,,,
1,Initial,600031.XSHG,,831000.0,,hold,8.31,100000.0,,
2,Initial,STOCK,,831000.0,,,,,,
3,Initial,000906.XSHG,,160330205.0,,hold,3206.6041,50000.0,,
4,Initial,INDEX,,160330205.0,,,,,,
5,Initial,ALL,261161205.0,161161205.0,100000000.0,,,,,
6,20190102,CASH,,,100000000.0,,,,,
7,20190102,600031.XSHG,,805000.0000000001,,hold,,100000.0,,
8,20190102,STOCK,,805000.0000000001,,,,,,
9,20190102,000906.XSHG,,158005820.0,,hold,,50000.0,,
10,20190102,INDEX,,158005820.0,,,,,,
11,20190102,ALL,258810820.0,158810820.0,100000000.0,,,,,
12,20190103,CASH,,,100000000.0,,,,,
13,20190103,600031.XSHG,,793000.0,,hold,,100000.0,,
14,20190103,STOCK,,793000.0,,,,,,
15,20190103,000906.XSHG,,157638575.0,,hold,,50000.0,,
16,20190103,INDEX,,157638575.0,,,,,,
17,20190103,ALL,258431575.0,158431575.0,100000000.0,,,,,
18,20190104,CASH,,,100000000.0,,,,,
19,20190104,600031.XSHG,,807000.0,,hold,,100000.0,,
20,20190104,STOCK,,807000.0,,,,,,
21,20190104,000906.XSHG,,161410985.0,,hold,,50000.0,,
22,20190104,INDEX,,161410985.0,,,,,,
23,20190104,ALL,262217985.0,162217985.0,100000000.0,,,,,
24,20190107,CASH,,,100000000.0,,,,,
25,20190107,600031.XSHG,,814000.0,,hold,,100000.0,,
26,20190107,STOCK,,814000.0,,,,,,
27,20190107,000906.XSHG,,162873995.0,,hold,,50000.0,,
28,20190107,INDEX,,162873995.0,,,,,,
29,20190107,ALL,263687995.0,163687995.0,100000000.0,,,,,
30,20190108,600519.XSHG,,99911308.0,,buy,604.79,165200.0,79929.0464,0.0
31,20190108,600436.XSHG,,8350.0,,buy,83.5,100.0,6.680000000000001,0.0
32,20190108,CASH,,,406.2736000043169,,,,,
33,20190108,600031.XSHG,,810000.0,,hold,,100000.0,,
34,20190108,600519.XSHG,,99911308.0,,hold,,165200.0,,
35,20190108,600436.XSHG,,8350.0,,hold,,100.0,,
36,20190108,STOCK,,100729658.0,,,,,,
37,20190108,000906.XSHG,,162505670.0,,hold,,50000.0,,
38,20190108,INDEX,,162505670.0,,,,,,
39,20190108,ALL,263235734.27359998,263235328.0,406.2736000043169,,,,,
40,20190109,CASH,,,406.2736000043169,,,,,
41,20190109,600031.XSHG,,811000.0,,hold,,100000.0,,
42,20190109,600519.XSHG,,101783024.0,,hold,,165200.0,,
43,20190109,600436.XSHG,,8520.0,,hold,,100.0,,
44,20190109,STOCK,,102602544.0,,,,,,
45,20190109,000906.XSHG,,163851140.0,,hold,,50000.0,,
46,20190109,INDEX,,163851140.0,,,,,,
47,20190109,ALL,266454090.2736,266453684.0,406.2736000043169,,,,,
48,20190110,CASH,,,406.2736000043169,,,,,
49,20190110,600031.XSHG,,803999.9999999999,,hold,,100000.0,,
50,20190110,600519.XSHG,,102220804.0,,hold,,165200.0,,
51,20190110,600436.XSHG,,8460.0,,hold,,100.0,,
52,20190110,STOCK,,103033264.0,,,,,,
53,20190110,000906.XSHG,,163553745.0,,hold,,50000.0,,
54,20190110,INDEX,,163553745.0,,,,,,
55,20190110,ALL,266587415.2736,266587009.0,406.2736000043169,,,,,
56,20190111,CASH,,,406.2736000043169,,,,,
