,date,code,type,hold_vol,hold_days
0,Initial,600031.XSHG,STOCK,100000,0
1,Initial,000906.XSHG,INDEX,50000,2
2,Initial,600519.XSHG,STOCK,0,0
3,Initial,603288.XSHG,STOCK,0,0
4,Initial,600276.XSHG,STOCK,0,0
5,Initial,600436.XSHG,STOCK,0,0
6,20190102,600031.XSHG,STOCK,100000,1
7,20190102,000906.XSHG,INDEX,50000,3
8,20190103,600031.XSHG,STOCK,100000,2
9,20190103,000906.XSHG,INDEX,50000,4
10,20190104,600031.XSHG,STOCK,100000,3
11,20190104,000906.XSHG,INDEX,50000,5
12,20190107,600031.XSHG,STOCK,100000,4
13,20190107,000906.XSHG,INDEX,50000,6
14,20190108,600031.XSHG,STOCK,100000,5
15,20190108,600519.XSHG,STOCK,165200,0
16,20190108,600436.XSHG,STOCK,100,0
17,20190108,000906.XSHG,INDEX,50000,7
18,20190109,600031.XSHG,STOCK,100000,6
19,20190109,600519.XSHG,STOCK,165200,1
20,20190109,600436.XSHG,STOCK,100,1
21,20190109,000906.XSHG,INDEX,50000,8
22,20190110,600031.XSHG,STOCK,100000,7
23,20190110,600519.XSHG,STOCK,165200,2
24,20190110,600436.XSHG,STOCK,100,2
25,20190110,000906.XSHG,INDEX,50000,9
26,20190111,600031.XSHG,STOCK,100000,8
27,20190111,600519.XSHG,STOCK,165200,3
28,20190111,600436.XSHG,STOCK,100,3
29,20190111,000906.XSHG,INDEX,50000,10
30,20190114,600031.XSHG,STOCK,100000,9
31,20190114,600519.XSHG,STOCK,165200,4
32,20190114,000906.XSHG,INDEX,50000,11
33,20190115,600031.XSHG,STOCK,100000,10
34,20190115,600519.XSHG,STOCK,165200,5
35,20190115,000906.XSHG,INDEX,50000,12
36,20190116,600031.XSHG,STOCK,100000,11
37,20190116,600519.XSHG,STOCK,165200,6
38,20190116,000906.XSHG,INDEX,50000,13
39,20190117,600031.XSHG,STOCK,100000,12
40,20190117,600519.XSHG,STOCK,165200,7
